Vehicle Manufacturer Name,Veh Mfr Code,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,# of Gears,Equivalent Test Weight (lbs.),CO (g/mi),CO2 (g/mi),NOx (g/mi)
aston martin,ASX,Car,503,8,8,4500,0.0700000,386.6600000,0.0290000
aston martin,ASX,Car,503,8,8,4500,0.0300000,259.7400000,0.0020000
aston martin,ASX,Car,715,12,8,4500,0.9848000,499.6900000,0.0262000
aston martin,ASX,Car,715,12,8,4500,0.0425000,290.2500000,0.0070000
aston martin,ASX,Both,550,8,9,5500,0.1200000,521.2600000,0.0090000
aston martin,ASX,Both,550,8,9,5500,0,327.5400000,0.0020000
aston martin,ASX,Car,503,8,8,4000,0.1600000,393.7600000,0.0150000
aston martin,ASX,Car,503,8,8,4000,0.0800000,259.0400000,0.0440000
BMW,BMX,Both,228,4,8,3750,0.2468089,278.7595253,0.0024674
BMW,BMX,Both,228,4,8,3750,0.0029978,175.4953204,0.0023005
BMW,BMX,Both,228,4,8,3750,0.2178812,287.6702787,0.0021871
BMW,BMX,Both,228,4,8,3750,0.0015000,191.3054000,0.0021000
BMW,BMX,Both,228,4,8,3875,0.1843343,296.4722894,0.0048707
BMW,BMX,Both,228,4,8,3875,0.0010223,182.9377615,0.0036324
BMW,BMX,Both,228,4,8,3875,0,194.3658064,0.0048682
BMW,BMX,Both,228,4,8,3875,0.1985082,302.3054144,0.0092353
BMW,BMX,Both,255,,8,3875,0.4038516,259.6035466,0.0246212
BMW,BMX,Both,255,,8,3875,0.0902624,174.1833846,0.0034940
BMW,BMX,Both,181,4,8,4250,0.8745224,359.4342713,
BMW,BMX,Both,181,4,8,4250,0.5812455,341.6419047,0.0037672
BMW,BMX,Both,181,4,8,4250,0.0858080,294.7770979,0.0077195
BMW,BMX,Both,181,4,8,4250,,,
BMW,BMX,Both,181,4,8,4250,,,
BMW,BMX,Both,181,4,8,4250,0.5862000,260.8247000,0.0017000
BMW,BMX,Both,181,4,8,4250,0.0247000,190.9187000,0.0029000
BMW,BMX,Both,181,4,8,4500,,,
BMW,BMX,Both,181,4,8,4500,1.0607568,363.5504027,
BMW,BMX,Both,181,4,8,4500,0.9666094,416.9023646,0.0030424
BMW,BMX,Both,181,4,8,4500,0.4660965,316.6573681,0.0074105
BMW,BMX,Both,181,4,8,4500,,,
BMW,BMX,Both,181,4,8,4500,0.5262000,285.3612000,0.0020000
BMW,BMX,Both,181,4,8,4500,0.0226000,202.4443000,0.0034000
BMW,BMX,Both,255,4,8,3875,0.1383560,259.6720000,0.0064165
BMW,BMX,Both,255,4,8,3875,0.0187500,169.7300000,0.0033500
BMW,BMX,Both,255,4,8,3875,0.0091621,170.7570000,0.0034842
BMW,BMX,Both,255,4,8,3875,0.1584850,261.3960000,0.0058635
BMW,BMX,Both,255,4,8,3875,0.2736180,265.0000000,0.0104610
BMW,BMX,Both,255,4,8,3875,0.0088594,177.6650000,0.0034570
BMW,BMX,Both,255,4,8,3875,0.1333340,254.6190000,0.0057530
BMW,BMX,Both,255,4,8,4000,0.1612140,276.6410000,0.0045190
BMW,BMX,Both,255,4,8,4000,0.0191470,180.0910000,0.0029520
BMW,BMX,Both,255,4,8,4000,0.0234376,175.4990000,0.0027538
BMW,BMX,Both,255,4,8,4000,0.1715350,276.4330000,0.0080060
BMW,BMX,Both,255,4,8,4000,0.0254330,177.4200000,0.0022100
BMW,BMX,Both,255,4,8,4000,0.0208400,180.3380000,0.0027110
BMW,BMX,Both,255,4,8,4000,0.2759640,287.3970000,0.0088245
BMW,BMX,Both,255,4,8,4000,0.0237649,194.2030000,0.0027058
BMW,BMX,Both,255,4,8,4250,0.4669734,289.4469857,0.0078076
BMW,BMX,Both,255,4,8,4250,0.0124286,185.0694386,0.0025517
BMW,BMX,Both,255,4,8,4250,0.1976641,290.5399473,0.0081514
BMW,BMX,Both,255,4,8,4250,0.0207000,190.2777000,0.0025000
BMW,BMX,Both,255,4,8,4250,0.3485738,285.2944526,0.0093025
BMW,BMX,Both,255,4,8,4250,0.0026831,189.4482481,0.0022007
BMW,BMX,Both,255,4,8,3875,0.2697491,260.1399804,0.0112926
BMW,BMX,Both,255,4,8,3875,0.0281343,173.9119441,0.0029412
BMW,BMX,Both,255,4,8,3875,0.3757518,273.2400778,0.0081125
BMW,BMX,Both,255,4,8,3875,0.0238065,178.9754248,0.0032238
BMW,BMX,Both,255,4,8,3875,0.0000007,178.2042780,0.0033213
BMW,BMX,Both,255,4,8,4000,0.2581507,266.2575656,0.0045675
BMW,BMX,Both,255,4,8,4000,0.0108266,171.3268563,0.0034445
BMW,BMX,Both,255,4,8,4000,0.2690801,266.1130407,0.0040831
BMW,BMX,Both,255,4,8,4000,0.0147619,180.3287503,0.0029866
BMW,BMX,Both,255,4,8,4250,0.2520634,290.4676209,0.0024427
BMW,BMX,Both,255,4,8,4250,0.0020431,183.3684527,0.0022714
BMW,BMX,Both,255,4,8,4250,0.2749315,302.1324852,0.0022837
BMW,BMX,Both,255,4,8,4250,0.0077643,197.9007859,0.0016756
BMW,BMX,Both,255,4,8,4000,0.4539393,288.2270587,0.0115578
BMW,BMX,Both,255,4,8,4000,0.0043229,178.8408810,0.0020299
BMW,BMX,Both,255,4,8,4000,0.3681382,295.8051621,0.0074927
BMW,BMX,Both,255,4,8,4000,0.0008702,197.3080570,0.0025489
BMW,BMX,Both,181,4,8,4750,0.1340000,316.5432000,0.0110000
BMW,BMX,Both,181,4,8,4750,0.8423000,352.1396000,
BMW,BMX,Both,181,4,8,4750,1.1552500,353.1454000,0.0018100
BMW,BMX,Both,181,4,8,4750,,,
BMW,BMX,Both,181,4,8,4750,,,
BMW,BMX,Both,181,4,8,4750,0.4374000,272.3731000,0.0014000
BMW,BMX,Both,181,4,8,4750,0.0407000,210.3562000,0.0030000
BMW,BMX,Both,181,4,8,4750,0.2046000,335.4582000,0.0119000
BMW,BMX,Both,181,4,8,4750,0.4385700,397.8331000,0.0045100
BMW,BMX,Both,181,4,8,4750,0.6172000,390.5879000,
BMW,BMX,Both,181,4,8,4750,,,
BMW,BMX,Both,181,4,8,4750,,,
BMW,BMX,Both,181,4,8,4750,0.5832000,297.1597000,0.0021000
BMW,BMX,Both,181,4,8,4750,0.0491000,217.0093000,0.0024000
BMW,BMX,Both,248,4,8,4000,0.2006445,272.5854124,0.0032641
BMW,BMX,Both,248,4,8,4000,0.0034727,181.4275802,0.0025274
BMW,BMX,Both,248,4,8,4000,0.2749356,273.6452736,0.0030395
BMW,BMX,Both,248,4,8,4000,0.0107000,184.9466000,0.0028000
BMW,BMX,Both,248,4,8,4250,0.2418717,292.7068635,0.0044100
BMW,BMX,Both,248,4,8,4250,0.0312002,194.3268505,0.0012897
BMW,BMX,Both,248,4,8,4250,0.3638880,289.4979768,0.0038083
BMW,BMX,Both,248,4,8,4250,0.0357294,187.6918588,0.0025077
BMW,BMX,Car,335,6,8,4250,0.0778300,276.7645000,0.0242500
BMW,BMX,Car,335,6,8,4250,0.0104934,193.0628000,0.0033422
BMW,BMX,Car,335,6,8,4500,0.1087000,306.9825000,0.0258000
BMW,BMX,Car,335,6,8,4500,0.0265955,212.1721872,0.0033794
BMW,BMX,Both,335,6,8,4500,0.1824000,315.9856000,0.0231000
BMW,BMX,Both,335,6,8,4500,0.0869000,214.3975000,0.0044000
BMW,BMX,Both,335,6,8,4750,0.1736480,227.7684937,0.0073638
BMW,BMX,Both,335,6,8,4750,0.3602224,348.6356506,0.0254118
BMW,BMX,Car,280,6,8,5250,1.3181413,361.0436333,0.0211459
BMW,BMX,Car,280,6,8,5250,1.1576361,491.8315154,
BMW,BMX,Car,280,6,8,5250,1.2472000,514.4032000,0.0358614
BMW,BMX,Car,280,6,8,5250,,,
BMW,BMX,Car,280,6,8,5250,,,
BMW,BMX,Car,280,6,8,5250,0.6508000,332.0913000,0.0206000
BMW,BMX,Car,280,6,8,5250,0.0503000,237.4930000,0.0055000
BMW,BMX,Both,523,8,8,5000,0.3373540,419.1860000,0.0142797
BMW,BMX,Both,523,8,8,5000,0.0189129,255.9340000,0.0046042
BMW,BMX,Both,335,6,8,4500,0.2211408,317.3106167,0.0252339
BMW,BMX,Both,335,6,8,4500,0.2487518,218.4678410,0.0060133
BMW,BMX,Both,335,6,8,4250,0.1842482,303.8518103,0.0204426
BMW,BMX,Both,335,6,8,4250,0.2074519,206.6136218,0.0028598
BMW,BMX,Both,335,6,8,4500,0.1834711,314.0062541,0.0257448
BMW,BMX,Both,335,6,8,4500,0.4362768,222.4708498,0.0045058
BMW,BMX,Both,335,6,8,4750,0.3252625,348.7821891,0.0245448
BMW,BMX,Both,335,6,8,4750,0.1150711,235.0398338,0.0059960
BMW,BMX,Both,335,6,8,4750,0.2314184,336.5226941,0.0282577
BMW,BMX,Both,335,6,8,4500,0.3483724,334.1453375,0.0260370
BMW,BMX,Both,335,6,8,4500,0.1585016,230.6647719,0.0074041
BMW,BMX,Both,600,8,8,5250,0.6250205,493.9261106,0.0210324
BMW,BMX,Both,600,8,8,5250,0.0721967,284.4480872,0.0048627
BMW,BMX,Both,612,8,8,6000,0.4789801,517.5380588,0.0249736
BMW,BMX,Both,612,8,8,6000,0.2680812,318.0918894,0.0031900
BMW,BMX,Car,335,,1,5000,,,
BMW,BMX,Car,335,,1,5000,,,
BMW,BMX,Car,335,,1,5000,,,
BMW,BMX,Car,335,,1,5000,,,
BMW,BMX,Car,335,,1,5000,,,
BMW,BMX,Car,335,,1,5000,,,
BMW,BMX,Car,536,,1,5250,,,
BMW,BMX,Car,536,,1,5250,,,
BMW,BMX,Car,536,,1,5250,,,
BMW,BMX,Car,536,,1,5250,,,
BMW,BMX,Car,536,,1,5250,,,
BMW,BMX,Car,536,,1,5250,,,
BMW,BMX,Truck,516,,1,6000,,,
BMW,BMX,Truck,516,,1,6000,,,
BMW,BMX,Truck,516,,1,6000,,,
BMW,BMX,Truck,516,,1,6000,,,
BMW,BMX,Truck,516,,1,6000,,,
BMW,BMX,Truck,516,,1,6000,,,
BMW,BMX,Truck,516,,1,6000,,,
BMW,BMX,Truck,516,,1,6000,,,
BMW,BMX,Car,301,4,8,3875,0.2291134,300.0346692,0.0316420
BMW,BMX,Car,301,4,8,3875,0.2898495,186.0888079,0.0080373
BMW,BMX,Car,301,4,8,3875,0.2867934,205.5945675,0.0073442
BMW,BMX,Car,301,4,8,3875,0.2295183,305.9590503,0.0357300
BMW,BMX,Car,382,6,8,4250,0.0968842,300.7443000,0.0141648
BMW,BMX,Car,382,6,8,4250,0.0233448,187.2943000,0.0038812
BMW,BMX,Car,382,6,8,4250,0.1666471,310.9301000,0.0139652
BMW,BMX,Car,382,6,8,4250,0.0186316,201.6915000,0.0038092
BMW,BMX,Car,382,6,8,4250,0.0907000,294.0200000,0.0268000
BMW,BMX,Car,382,6,8,4250,0.0230107,191.6200820,0.0041931
BMW,BMX,Car,382,6,8,4250,0.1013000,293.6708000,0.0240000
BMW,BMX,Car,382,6,8,4250,0.0434718,206.9070309,0.0030383
BMW,BMX,Car,382,6,8,4250,0.0983000,297.1154000,0.0259000
BMW,BMX,Car,382,6,8,4250,0.0905000,294.6267000,0.0251000
BMW,BMX,Car,382,6,8,4250,0,191.2927180,0.0036563
BMW,BMX,Car,382,6,8,4250,0.0967000,299.8332000,0.0266000
BMW,BMX,Car,382,6,8,4250,0.0181652,203.8221678,0.0031982
BMW,BMX,Car,503,6,8,4250,0.3353000,376.5071000,0.0146000
BMW,BMX,Car,503,6,8,4250,0.0243000,244.3253000,0.0026000
BMW,BMX,Car,503,6,8,4250,0.3010000,493.9283000,0.0162000
BMW,BMX,Car,503,6,8,4250,0.0322000,303.5023000,0.0023000
BMW,BMX,Car,503,6,8,4750,0.2910000,392.9080000,0.0165000
BMW,BMX,Car,503,6,8,4750,0,245.4962000,0.0030000
BMW,BMX,Car,503,6,8,4750,0.2678000,514.0566000,0.0165000
BMW,BMX,Car,503,6,8,4750,0.0158000,309.8637000,0.0033000
BMW,BMX,Car,503,6,8,4250,0.2680000,385.5716000,0.0171000
BMW,BMX,Car,503,6,8,4250,0.0126000,251.0282000,0.0029000
BMW,BMX,Car,503,6,8,4250,0.2448000,492.4347000,0.0307000
BMW,BMX,Car,503,6,8,4250,0.0214000,311.1255000,0.0054000
BMW,BMX,Car,473,6,6,4250,0.5289000,435.2430000,0.0175000
BMW,BMX,Car,473,6,6,4250,0.0366000,268.4648000,0.0035000
BMW,BMX,Car,473,6,6,4250,0.4997000,447.6217000,0.0227000
BMW,BMX,Car,473,6,6,4250,0.0149000,272.6270000,0.0056000
BMW,BMX,Car,382,6,8,4500,0.1374000,305.1781000,0.0285000
BMW,BMX,Car,382,6,8,4500,0.1179103,197.2117343,0.0044362
BMW,BMX,Car,382,6,8,4500,0.1387000,298.7192000,0.0282000
BMW,BMX,Car,382,6,8,4500,0.1384000,292.4149000,0.0269000
BMW,BMX,Car,382,6,8,4500,0.2805362,199.7773471,0.0037662
BMW,BMX,Both,382,6,8,4250,0.1484232,178.7760000,0.0037041
BMW,BMX,Both,382,6,8,4250,0.2088000,272.1768000,0.0229700
BMW,BMX,Both,382,6,8,4250,0.3114384,177.5972000,0.0031470
BMW,BMX,Both,382,6,8,4250,0.3511100,289.6856000,0.0247100
BMW,BMX,Both,382,6,8,4250,0.2859671,195.2912000,0.0029770
BMW,BMX,Both,382,6,8,4250,0.5566716,197.0064000,0.0037175
BMW,BMX,Both,382,6,8,4500,0.1278000,298.2790000,0.0258000
BMW,BMX,Both,382,6,8,4500,0.0166653,190.3465560,0.0040377
BMW,BMX,Both,382,6,8,4500,0.1760000,310.7068000,0.0304000
BMW,BMX,Both,382,6,8,4500,0.1709000,311.2227000,0.0286000
BMW,BMX,Both,382,6,8,4500,0.0154675,197.2611408,0.0043213
BMW,BMX,Car,382,6,8,4250,0.0165098,194.8899708,0.0038393
BMW,BMX,Car,382,6,8,4250,0.0897000,313.5430000,0.0260000
BMW,BMX,Car,382,6,8,4250,0.0671900,196.4128870,0.0038159
BMW,BMX,Car,382,6,8,4250,0.0900000,318.1498000,0.0301000
BMW,BMX,Car,382,6,8,4250,0.0243588,207.0387113,0.0045593
BMW,BMX,Both,382,6,8,4500,0.1949000,321.2648000,0.0303000
BMW,BMX,Both,382,6,8,4500,0.0542649,209.2933171,0.0052652
BMW,BMX,Both,523,8,8,4750,0.2465269,416.9802892,0.0234539
BMW,BMX,Both,523,8,8,4750,0.0307556,247.7880409,0.0038753
BMW,BMX,Both,523,8,8,4750,0.0720826,263.7388230,0.0054549
BMW,BMX,Both,523,8,8,4750,0.2223860,417.7667547,0.0185558
BMW,BMX,Car,601,12,8,5500,0.1222000,545.2692000,0.0238000
BMW,BMX,Car,601,12,8,5500,0.0420000,324.3486000,0.0044000
BMW,BMX,Both,523,8,8,5000,0.4397000,405.1206000,0.0178000
BMW,BMX,Both,523,8,8,5000,0.0753000,245.9356000,0.0035000
BMW,BMX,Both,523,8,8,4750,0.4283900,388.1100000,0.0198400
BMW,BMX,Both,523,8,8,4750,0.0821700,240.9100000,0.0036600
BMW,BMX,Both,523,8,8,5000,0.1414455,263.5801227,0.0037575
BMW,BMX,Both,523,8,8,5000,0.4084218,422.4287097,0.0203792
BMW,BMX,Car,181,,1,3500,,,
BMW,BMX,Car,181,,1,3500,,,
BMW,BMX,Both,255,4,8,3500,0.0887600,267.8085000,0.0080900
BMW,BMX,Both,255,4,8,3500,0.0101300,186.7142000,0.0022600
BMW,BMX,Both,382,6,8,3750,0.1243641,309.7663676,0.0163975
